Date,Open,High,Low,Close,Volume,Market Cap
"Apr 28, 2013",135.3,135.98,132.1,134.21,0,1488566728
"Apr 29, 2013",134.44,147.49,134,144.54,0,1603768865
"Apr 30, 2013",144,146.93,134.05,139,0,1542813125
"May 01, 2013",139,139.89,107.72,116.99,0,1298954594
"May 02, 2013",116.38,125.6,92.28,105.21,0,1168517495
"May 03, 2013",106.25,108.13,79.1,97.75,0,1085995169
"May 04, 2013",98.1,115,92.5,112.5,0,1250316563
"May 05, 2013",112.9,118.8,107.14,115.91,0,1288693176
"May 06, 2013",115.98,124.66,106.64,112.3,0,1249023060
"May 07, 2013",112.25,113.44,97.7,111.5,0,1240593600
"May 08, 2013",109.6,115.78,109.6,113.57,0,1264049202
"May 09, 2013",113.2,113.46,109.26,112.67,0,1254535382
"May 10, 2013",112.8,122,111.55,117.2,0,1305479080
"May 11, 2013",117.7,118.68,113.01,115.24,0,1284207489
"May 12, 2013",115.64,117.45,113.43,115,0,1281982625
"May 13, 2013",114.82,118.7,114.5,117.98,0,1315710011
"May 14, 2013",117.98,119.8,110.25,111.5,0,1243874488
"May 15, 2013",111.4,115.81,103.5,114.22,0,1274623813
"May 16, 2013",114.22,118.76,112.2,118.76,0,1325726787
"May 17, 2013",118.21,125.3,116.57,123.01,0,1373723882
"May 18, 2013",123.5,125.25,122.3,123.5,0,1379574546
"May 19, 2013",123.21,124.5,119.57,121.99,0,1363204703
"May 20, 2013",122.5,123.62,120.12,122,0,1363709900
"May 21, 2013",122.02,123,121.21,122.88,0,1374013440
"May 22, 2013",122.89,124,122,123.89,0,1385778993
"May 23, 2013",123.8,126.93,123.1,126.7,0,1417769833
"May 24, 2013",126.3,133.85,125.72,133.2,0,1491070770
"May 25, 2013",133.1,133.22,128.9,131.98,0,1477958233
"May 26, 2013",131.99,136,130.62,133.48,0,1495293015
"May 27, 2013",133.5,135.46,124.7,129.74,0,1454029510
"May 28, 2013",129.77,130.58,125.6,129,0,1446189975
"May 29, 2013",129,132.59,127.66,132.3,0,1483734578
"May 30, 2013",132.25,132.25,127,128.8,0,1445053941
"May 31, 2013",128.8,129.9,126.4,129,0,1447870200
"Jun 01, 2013",128.82,129.78,127.2,129.3,0,1451916165
"Jun 02, 2013",129.3,129.4,115.05,122.29,0,1373837500
"Jun 03, 2013",122.5,122.5,116,122.22,0,1373708058
"Jun 04, 2013",120.74,123.84,119.1,121.42,0,1365337545
"Jun 05, 2013",121.4,123.47,119.9,121.65,0,1368486469
"Jun 06, 2013",121.9,123.1,117.25,118,0,1327960200
"Jun 07, 2013",118.97,119,106.42,111.5,0,1255258638
"Jun 08, 2013",111,111.42,107.3,108.3,0,1219717920
"Jun 09, 2013",107.89,108.99,88.5,100,0,1126642500
"Jun 10, 2013",100.44,110.1,95,106.35,0,1198638945
"Jun 11, 2013",106.35,109.6,104,108.9,0,1227874725
"Jun 12, 2013",109,111.79,106.73,108.15,0,1219969853
"Jun 13, 2013",108.78,110.3,100.53,104,0,1173637400
"Jun 14, 2013",103.95,104.7,98,99.98,0,1128709292
"Jun 15, 2013",100,103.7,98,99.99,0,1129245604
"Jun 16, 2013",99.8,101.6,98.95,99.51,0,1124306272
"Jun 17, 2013",99.9,102.21,99,101.7,0,1149418485
"Jun 18, 2013",101.95,111.11,101.03,107.4,0,1214216070
"Jun 19, 2013",107.05,110.22,105.75,108.25,0,1224193838
"Jun 20, 2013",108.25,114.3,107.5,110.15,0,1246104920
"Jun 21, 2013",111.29,114.99,107.68,109.5,0,1239214238
"Jun 22, 2013",109.5,109.96,107.51,108.3,0,1226110328
"Jun 23, 2013",108.2,108.8,106.23,107.6,0,1218626490
"Jun 24, 2013",107.9,108.33,100.98,102.74,0,1163935726
"Jun 25, 2013",102.09,106.47,101.01,103.95,0,1178086140
"Jun 26, 2013",103.33,105.49,102.79,104,0,1179105200
"Jun 27, 2013",104,104,101.1,101.44,0,1150468023
"Jun 28, 2013",101.74,101.74,92.33,94.65,0,1073887457
"Jun 29, 2013",94.66,99.99,93,94.99,0,1078198524
"Jun 30, 2013",95,98.12,94.22,96.61,0,1096957771
"Jul 01, 2013",97.51,97.66,86.3,88.05,0,1000065296
"Jul 02, 2013",88.05,92.3,87.51,90.13,0,1024082228
"Jul 03, 2013",90.4,90.98,76.98,77.53,0,881233116
"Jul 04, 2013",78.89,83.11,72,80.53,0,915618609
"Jul 05, 2013",79.99,80,65.53,68.43,0,778411179
"Jul 06, 2013",68.5,75,66.82,70.28,0,799741619
"Jul 07, 2013",68.75,74.56,66.62,74.56,0,848838979
"Jul 08, 2013",76.5,80,72.6,76.52,0,871457940
"Jul 09, 2013",76,78.3,72.52,76.69,0,873841849
"Jul 10, 2013",76.72,87,76.2,86.76,0,988957719
"Jul 11, 2013",88,90.28,85.08,88.98,0,1014650063
"Jul 12, 2013",88.98,104,88.17,93.59,0,1067634684
"Jul 13, 2013",93.99,98.25,88.06,98.13,0,1119796120
"Jul 14, 2013",98.7,98.7,92.86,94.69,0,1080917760
"Jul 15, 2013",93.61,101.9,93.11,98.4,0,1123658944
"Jul 16, 2013",98.89,99.86,96.14,97.45,0,1113217032
"Jul 17, 2013",96.71,99.97,96.18,98.5,0,1125658000
"Jul 18, 2013",98.5,98.8,86.2,90.58,0,1035512825
"Jul 19, 2013",90.07,95.2,87.8,92.17,0,1054083771
"Jul 20, 2013",92,93.1,89.27,89.39,0,1022707665
"Jul 21, 2013",89.82,91.95,88,90.76,0,1038798980
"Jul 22, 2013",92,92,90.08,91.61,0,1048939081
"Jul 23, 2013",91.6,96.82,91.6,95.56,0,1094484058
"Jul 24, 2013",95.56,95.99,93,94.51,0,1082848325
"Jul 25, 2013",94.5,97.33,93.87,96.9,0,1110587858
"Jul 26, 2013",96.95,97.47,96,96.02,0,1100902800
"Jul 27, 2013",96.02,97,93,94.12,0,1079491697
"Jul 28, 2013",94.4,100.58,94,99.76,0,1144602838
"Jul 29, 2013",98.6,102.5,98.46,101.2,0,1161619140
"Jul 30, 2013",101.49,107.99,100.47,107.99,0,1240092366
"Jul 31, 2013",107.95,111.34,103.88,106.09,0,1218777834
"Aug 01, 2013",106.21,108,103.01,104,0,1195225200
"Aug 02, 2013",104.86,108,101.21,104.5,0,1201487185
"Aug 03, 2013",104.5,105.78,102,104,0,1196226508
"Aug 04, 2013",104.95,105.95,103.52,105.14,0,1209797378
"Aug 05, 2013",105.12,107.77,105,106.22,0,1222677176
"Aug 06, 2013",106.72,107.38,105.56,106.75,0,1229098150
"Aug 07, 2013",106.75,106.75,106.75,106.75,0,1229098150
"Aug 08, 2013",106.75,106.75,101.26,103,0,1187105900
"Aug 09, 2013",103.07,105.75,101.93,102.8,0,1185307130
"Aug 10, 2013",102.8,103.9,102.41,103,0,1188153925
"Aug 11, 2013",103,105.19,102.75,105,0,1211789250
"Aug 12, 2013",105,108,103.5,106.64,0,1231248581
"Aug 13, 2013",106.99,109.35,104.65,109,0,1259042650
"Aug 14, 2013",109.56,115,108,112.56,0,1300656724
"Aug 15, 2013",112.56,113.25,109,109.99,0,1271404657
"Aug 16, 2013",110,112.3,108.52,108.99,0,1260352119
"Aug 17, 2013",108.99,113.75,108.22,113.5,0,1312996375
"Aug 18, 2013",112.75,114.69,112,113.5,0,1313544013
"Aug 19, 2013",113.38,123.06,111.77,119,0,1377725475
"Aug 20, 2013",119,123.01,117.51,121.21,0,1403829641
"Aug 21, 2013",121.21,124.91,119.68,123.3,0,1428698678
"Aug 22, 2013",123.3,123.5,120.6,121.15,0,1404437433
"Aug 23, 2013",122,122,118.44,118.5,0,1374309422
"Aug 24, 2013",118.51,121.39,118.02,120.04,0,1392768092
"Aug 25, 2013",119.6,122.99,119.17,122.11,0,1417198897
"Aug 26, 2013",122.11,122.75,119.93,120.06,0,1393847159
"Aug 27, 2013",120.07,127.24,120.07,126.5,0,1469193138
"Aug 28, 2013",126.48,127.32,122.62,122.62,0,1424675798
"Aug 29, 2013",122.62,123.7,122.21,122.39,0,1422584866
"Aug 30, 2013",122.35,135.75,120.99,133.49,0,1552288465
"Aug 31, 2013",133.09,140.89,132.72,135.35,0,1574672051
"Sep 01, 2013",135.14,145.81,134.81,138.34,0,1610215347
"Sep 02, 2013",138.63,146.5,134.89,135.85,0,1581969854
"Sep 03, 2013",135.61,138.34,133,136.77,0,1593346565
"Sep 04, 2013",136.53,144.5,123.61,126.74,0,1477012118
"Sep 05, 2013",126.76,131.44,121.83,126.43,0,1473965191
"Sep 06, 2013",126.49,127.34,119.15,119.15,0,1389646450
"Sep 07, 2013",118.89,125.94,118.46,124.15,0,1448411494
"Sep 08, 2013",124.13,124.72,120.49,121.66,0,1419836072
"Sep 09, 2013",121.86,129.06,119.75,127.11,0,1484085516
"Sep 10, 2013",127.27,129.74,125.9,125.91,0,1470679164
"Sep 11, 2013",125.89,137.83,123.27,135.25,0,1580450350
"Sep 12, 2013",135.55,136.08,131.81,133.13,0,1556386219
"Sep 13, 2013",132.83,137.58,132.27,134.98,0,1578699084
"Sep 14, 2013",135.01,135.85,128.87,129.22,0,1512038756
"Sep 15, 2013",129.4,131.44,128.26,130.37,0,1526085146
"Sep 16, 2013",130.86,132.72,129.77,131.72,0,1542395098
"Sep 17, 2013",131.59,132.76,124.89,131.66,0,1542278406
"Sep 18, 2013",131.71,133.2,130.54,131.47,0,1540598328
"Sep 19, 2013",131.37,131.77,128.45,129.65,0,1519883709
"Sep 20, 2013",129.7,135.62,126.68,127.04,0,1489921944
"Sep 21, 2013",126.95,128.61,126.24,127.43,0,1495101147
"Sep 22, 2013",127.87,133.94,126.59,129.12,0,1515584736
"Sep 23, 2013",128.98,132.73,125.66,125.95,0,1479037148
"Sep 24, 2013",126.05,127.46,125.39,127.25,0,1494974356
"Sep 25, 2013",127.38,129.69,127.33,128.22,0,1507033770
"Sep 26, 2013",128.21,134.93,127.32,128.38,0,1509434269
"Sep 27, 2013",128.94,134.74,128.49,133.78,0,1573520360
"Sep 28, 2013",133.77,135.63,132.56,134.78,0,1585878762
"Sep 29, 2013",134.9,140.61,134.71,137.34,0,1616584505
"Sep 30, 2013",137.15,138.35,130.27,133,0,1566038425
"Oct 01, 2013",132.68,134.63,131.55,132.18,0,1557001092
"Oct 02, 2013",132.05,133.59,102.25,114.13,0,1344930746
"Oct 03, 2013",114.45,123.63,111.82,123.63,0,1457492615
"Oct 04, 2013",123.41,130.09,123.41,129.01,0,1521498787
"Oct 05, 2013",128.63,130.44,128.03,128.55,0,1516777519
"Oct 06, 2013",128.36,129.66,126.15,129,0,1522686975
"Oct 07, 2013",129.43,130.27,126.36,126.94,0,1498859918
"Oct 08, 2013",126.74,127.47,124.71,126,0,1488277350
"Oct 09, 2013",125.85,131.75,125.58,130.69,0,1544249376
"Oct 10, 2013",130.67,131.5,129.26,130.59,0,1543701125
"Oct 11, 2013",130.75,131.81,129.64,130.9,0,1547971040
"Oct 12, 2013",130.9,135.66,130.56,135.19,0,1599426131
"Oct 13, 2013",135.19,138.66,134.55,138.13,0,1634968839
"Oct 14, 2013",139.27,144.12,138.9,140.52,0,1664129178
"Oct 15, 2013",140.77,145.39,139.13,145.24,0,1720981439
"Oct 16, 2013",145.65,152.23,142.43,142.55,0,1689851848
"Oct 17, 2013",142.41,147.42,142.41,146.25,0,1734327563
"Oct 18, 2013",146.37,155.96,145.57,155.96,0,1850219763
"Oct 19, 2013",155.91,177.48,155.7,172.42,0,2046457291
"Oct 20, 2013",171.66,174.91,168.95,174.61,0,2073319140
"Oct 21, 2013",174.8,184.82,174.8,182.21,0,2164518143
"Oct 22, 2013",182.65,196.27,182.65,193.76,0,2302910260
"Oct 23, 2013",193.36,213.62,192.38,213.62,0,2540139399
"Oct 24, 2013",214.3,217.42,168.52,198.23,0,2358198593
"Oct 25, 2013",197.69,198.87,168.5,186.69,0,2222012384
"Oct 26, 2013",187.45,188.41,175.75,177.32,0,2111296044
"Oct 27, 2013",176.6,196.44,176.6,196.44,0,2339831217
"Oct 28, 2013",196.21,198.62,192.06,198.55,0,2365837416
"Oct 29, 2013",198.55,204.79,198.55,204.39,0,2436241934
"Oct 30, 2013",204.39,209.16,199.97,199.97,0,2384492273
"Oct 31, 2013",199.83,205.18,198.85,204,0,2433658800
"Nov 01, 2013",203.9,206.65,202.13,206.18,0,2460742837
"Nov 02, 2013",205.81,207.76,201.65,206.22,0,2462261645
"Nov 03, 2013",205.99,215.05,203.99,215.05,0,2568713111
"Nov 04, 2013",214.66,231.01,213.94,229.1,0,2737659088
"Nov 05, 2013",229.21,250.66,226.22,245.24,0,2931598960
"Nov 06, 2013",244.78,263,244.78,262.5,0,3138994688
"Nov 07, 2013",261.68,304.17,261.55,296.41,0,3545560087
"Nov 08, 2013",297.85,338.66,296.93,338.11,0,4045494603
"Nov 09, 2013",338.58,370.82,319.71,339.11,0,4058705857
"Nov 10, 2013",348.82,350.7,277.24,326.62,0,3910613095
"Nov 11, 2013",325.41,351.27,311.78,342.44,0,4101635027
"Nov 12, 2013",343.06,362.81,342.8,360.33,0,4317726291
"Nov 13, 2013",360.97,414.05,359.8,407.37,0,4883103453
"Nov 14, 2013",406.41,425.9,395.19,420.2,0,5038817795
"Nov 15, 2013",419.41,437.89,396.11,417.95,0,5013561020
"Nov 16, 2013",417.28,450.26,415.57,440.22,0,5282849105
"Nov 17, 2013",440.96,500.58,440.24,492.11,0,5907842064
"Nov 18, 2013",496.58,703.78,494.94,703.56,0,8449069629
"Nov 19, 2013",712.76,806.11,456.39,584.61,0,7022949161
"Nov 20, 2013",577.98,599.65,448.45,590.83,0,7100077964
"Nov 21, 2013",594.32,733.4,577.29,722.43,0,8684240726
"Nov 22, 2013",724.07,780.85,668.13,771.44,0,9276681716
"Nov 23, 2013",771.7,844.97,771.7,797.82,0,9597335799
"Nov 24, 2013",795.63,807.36,722.87,774.25,0,9317034156
"Nov 25, 2013",773.02,810.68,754.43,799.11,0,9619646225
"Nov 26, 2013",805.73,928.54,800.8,928.1,0,11176110593
"Nov 27, 2013",923.85,1001.96,891.68,1001.96,0,12069885699
"Nov 28, 2013",1003.38,1077.56,962.17,1031.95,0,12435823060
"Nov 29, 2013",1042.01,1146.97,1000.64,1131.97,0,13646039846
"Nov 30, 2013",1129.37,1156.14,1106.61,1129.43,0,13620389321
"Dec 01, 2013",1128.92,1133.08,801.82,955.85,0,11531708948
"Dec 02, 2013",951.42,1055.42,938.41,1043.33,0,12591271606
"Dec 03, 2013",1046.4,1096,1011.21,1078.28,0,13018451838
"Dec 04, 2013",1077.58,1156.12,1070.16,1151.17,0,13903428351
"Dec 05, 2013",1152.73,1154.36,897.11,1045.11,0,12626914509
"Dec 06, 2013",1042.38,1042.38,829.45,829.45,0,10025645095
"Dec 07, 2013",835.32,854.64,640.22,698.23,0,8442962249
"Dec 08, 2013",697.31,802.51,670.88,795.87,0,9627500113
"Dec 09, 2013",793.8,921.93,780.9,893.19,0,10808715488
"Dec 10, 2013",892.32,997.23,892.32,988.51,0,11966951486
"Dec 11, 2013",989.07,1001.58,834.23,878.48,0,10638546534
